a | STRIKE | PROSE :: Columns (STRIKE synonym pool, merged verb/noun near-duplicates): Blow, Strike, Impact, Smash, Slam, Crack, Whack, Thump, Thud, Bash, Clout, Wallop, Clobber, Belt, Sock, Punch, Jab, Cuff, Slap, Chop, Knock, Rap, Crash, Co
c | BURST | Seed Discharge :: X — a seed's discharge is already covered by Pod Discharge; redundant
c | BURST | Seed Outburst :: X — near-dup; redundant
c | BURST | Seed Rupture :: X — near-dup of Pod Rupture/Husk Rupture; redundant
c | BURST | Bur/Burr Blast :: X — near-dup of Bur Burst; redundant
c | BURST | Bur/Burr Eruption :: X — near-dup of Bur Burst; redundant
c | BURST | Bur/Burr Outburst :: X — near-dup; redundant
c | BURST | Bur/Burr Rupture :: X — near-dup of Bur Burst; redundant restatement, the burst image already covers the rupture-adjacen
c | CLOUD | Pollen Miasma :: X — Bloom Miasma covers the chemical-boundary miasma register generically; Pollen Miasma redundant, 
c | CLOUD | Pollen Field :: X — Spore Field already covers the bounded-area register for the finer/heavier particulate; Pollen F
c | CLOUD | Spore Canopy :: X — Pollen Canopy already covers this overhead-cover image; Spore Canopy redundant, no distinguishin
c | CLOUD | Spore Blanket :: X — Pollen Blanket covers this; redundant
c | CLOUD | Spore Zone :: X — Pollen Zone already covers the bounded-area register; Spore Zone redundant against the surviving
c | CLOUD | Bloom Pall :: X — Spore Pall already covers the heavier-covering register; Bloom Pall redundant, no distinguishing
c | CLOUD | Bloom Veil :: X — Pollen Veil already covers the thin-drift register for a bloom's own pollen release; Bloom Veil 
c | CLOUD | Bloom Haze :: X — Pollen Haze covers this; redundant
c | CLOUD | Bloom Murk :: X — Spore Murk covers the heavier-darkness register; Bloom Murk redundant
c | CLOUD | Bloom Canopy :: X — Pollen Canopy covers this; Bloom Canopy redundant, vaguer
c | CLOUD | Bloom Blanket :: X — Pollen Blanket covers this; redundant
c | CLOUD | Bloom Billow :: X — Pollen Billow/Spore Billow cover this; Bloom Billow redundant, vaguer
c | CLOUD | Bloom Wreath :: X — Pollen Wreath/Spore Wreath cover this; redundant, vaguer
c | CLOUD | Bloom Drift :: X — Pollen Drift/Spore Drift cover this; redundant
c | CLOUD | Bloom Zone :: X — Pollen Zone covers this; Bloom Zone redundant, vaguer
c | CLOUD | Bloom Field :: X — Spore Field covers this; Bloom Field redundant, vaguer
c | CLOUD | PROSE :: 1. **Moss Miasma** — not composed: moss does release spores, but the resulting airborne effect is identical in kind to the already-kept Spore Cloud/Spore Miasma with no moss-specific distinguishing feature (no honest rea
c | CLOUD | PROSE :: 2. **Fern Haze** — not composed: same reasoning, redundant against Pollen Haze/Spore Cloud family with no fern-specific distinguishing feature. X.
c | CLOUD | PROSE :: 3. **Lichen Drift** — not composed: same reasoning, redundant against Spore Drift with no lichen-specific distinguishing feature (lichen doesn't disperse in a way meaningfully different from the generic spore-drift image
c | CLOUD | PROSE :: 4. **Moss Veil** — not composed: same reasoning, redundant against Pollen Veil/Spore Veil. X.
c | CLOUD | PROSE :: 5. **Lichen Billow** — not composed: same reasoning, redundant against Pollen Billow/Spore Billow. X.
c | SNARE | Vine Leash :: X — Vine Leash, cut above, redundant against Vine Tether
c | SNARE | Vine Cage :: X — Bramble Cage already covers the rigid-enclosure image more honestly (brambles are stiffer/thorni
c | SNARE | Vine Clutch :: X — Vine Clutch, cut above, redundant against Vine Grip
c | SNARE | Vine Clasp :: X — a clasp implies a small fastening mechanism; redundant against the already-established Vine Bond
c | SNARE | Vine Seize :: X — seize redundant against Vine Grip/Grasp family
c | SNARE | Vine Reel :: X — Vine Reel, cut above, redundant against Vine Pull/Drag
c | SNARE | Vine Haul :: X — haul redundant against Vine Pull/Drag, no distinguishing feature
c | SNARE | Vine Tow :: X — tow redundant against Vine Pull/Drag
c | SNARE | Vine Wrench :: X — Vine Wrench, cut above, redundant against Pull/Drag family
c | SNARE | Root Trap :: X — Root Trap, cut above, redundant against Root Snare/Cage
c | SNARE | Root Leash :: X — Tide Leash-style weaker restatement; Root Leash redundant against Root Tether, held out
c | SNARE | Root Hobble :: X — Root Hobble, cut above, redundant against Vine Hobble; roots don't wrap around legs the way a fl
c | SNARE | Root Bond :: X — Root Bond, cut above, redundant against Vine Bond/Root Tether family
c | SNARE | Root Cord :: X — Root Cord, cut above, redundant against Vine Cord
c | SNARE | Root Loop :: X — a root doesn't naturally loop the way a vine can; redundant/weaker against Vine Loop
c | SNARE | Root Web :: X — Root Web, cut above, redundant against Vine Web, roots don't tangle overhead the way vines do
c | SNARE | Root Clasp :: X — clasp redundant against Root Grip/Grasp/Clutch family
c | SNARE | Root Seize :: X — seize redundant against the same family
c | SNARE | Root Reel :: X — reel redundant against Root Pull/Drag
c | SNARE | Root Haul :: X — haul redundant against Root Drag
c | SNARE | Root Tow :: X — tow redundant against Root Pull/Drag
c | SNARE | Root Wrench :: D — wrench mismatch, redundant/weak against Pull/Drag
c | SNARE | Bramble Trap :: X — Bramble Trap, cut above, redundant against Bramble Snare/Cage
c | SNARE | Bramble Cocoon :: D — cut above (Bramble Cocoon), redundant against Vine Cocoon's more honest full-wrap flexibility, t
c | SNARE | Bramble Grasp :: X — Bramble Grasp redundant against Bramble Grip; no distinguishing feature
c | SNARE | Bramble Clutch :: X — Bramble Clasp, cut above, redundant against Bramble Grip
c | SNARE | Bramble Seize :: X — seize redundant against Bramble Grip
c | SNARE | Bramble Snag :: D — Bramble Snag, cut above, redundant against Thorn Snag; the thorn is the honest snagging point, n
c | SNARE | Bramble Hinder :: D — a bramble mass hindering passage is arguably its most honest snare-adjacent quality, but this is
c | SNARE | Thorn Trap :: X — Thorn Trap, cut above, redundant against Thorn Snare
c | SNARE | Thorn Grip :: D — a thorn's honest hold is via piercing and snagging (already covered by Thorn Snag), not a broad 
c | SNARE | Rhizome Trap :: X — Rhizome Trap, redundant against Rhizome Snare
c | SNARE | Rhizome Tether :: D — a rhizome tethers by spreading and anchoring, already the more honest Rhizome Snare covers this;
c | SNARE | Rhizome Bond :: D — a rhizome bonds by spreading and gripping, already covered by Rhizome Snare; redundant — X
c | SNARE | Rhizome Web :: X — cut above as D for the net-mismatch reasoning, and redundant against Vine Web's overhead-tanglin
c | SNARE | Rhizome Grip :: D — a rhizome's honest hold is a below-ground grip at the foot, already covered by Rhizome Snare; "R
c | SNARE | Rhizome Grasp :: X — same reasoning, redundant against Rhizome Snare
c | SNARE | Rhizome Anchor :: X — Root Anchor already covers the below-ground anchoring register more generically; Rhizome Anchor 
c | SNARE | PROSE :: This run composed plant's SPRAY, BURST, CLOUD, and SNARE cells from a cold start (no prior composed-plant-v4.md exists), building directly from step0-plant.md's productive-word list against the full synonym pools in harv
